1, 3, 0, 1450
2, 2, 0, 1124
3, 14, 0, 1873
4, 1, 0, 1710
5, 2, 0, 748
6, 21, 0, 1256
7, 2, 0, 467
8, 8, 0, 827
9, 8, 0, 1115
10, 15, 0, 453
11, 5, 0, 2370
12, 8, 0, 879
13, 8, 0, 701
14, 5, 0, 924
15, 14, 0, 892
16, 16, 0, 118
17, 16, 0, 1914
18, 8, 0, 988
19, 9, 0, 2327
20, 14, 0, 586
21, 8, 0, 315
22, 2, 0, 661
23, 2, 0, 2117
24, 9, 0, 452
25, 8, 0, 345
26, 2, 0, 1622
27, 2, 0, 1929
28, 2, 0, 184
29, 2, 0, 1161
30, 1, 0, 428
31, 5, 0, 1068
32, 8, 0, 1036
33, 2, 0, 2387
34, 10, 0, 1160
35, 19, 0, 415
36, 11, 0, 198
37, 21, 0, 305
38, 1, 0, 1366
39, 6, 0, 511
40, 10, 0, 1981
41, 8, 0, 757
42, 4, 0, 390
43, 11, 0, 1342
44, 3, 0, 1957
45, 8, 0, 2994
46, 4, 0, 1654
47, 20, 0, 2874
48, 1, 0, 1485
49, 9, 0, 1086
50, 8, 0, 2630
51, 1, 0, 76
52, 8, 0, 1290
53, 4, 0, 1267
54, 1, 0, 1797
55, 1, 0, 1094
56, 1, 0, 1416
57, 17, 0, 911
58, 10, 0, 2641
59, 8, 0, 379
60, 26, 0, 2824
61, 7, 0, 380
62, 8, 0, 1549
63, 20, 0, 79
64, 4, 0, 1989
65, 15, 0, 2868
66, 4, 0, 1857
67, 8, 0, 384
68, 3, 0, 1529
69, 1, 0, 81
70, 7, 0, 175
71, 8, 0, 1036
72, 4, 0, 106
73, 3, 0, 2268
74, 1, 0, 534
75, 8, 0, 2798
76, 7, 0, 2384
77, 22, 0, 570
78, 10, 0, 2113
79, 4, 0, 417
80, 2, 0, 2658
81, 8, 0, 848
82, 8, 0, 2497
83, 3, 0, 1808
84, 4, 0, 746
85, 5, 0, 2204
86, 5, 0, 2648
87, 19, 0, 941
88, 8, 0, 2411
89, 1, 0, 2097
90, 9, 0, 2823
91, 10, 0, 306
92, 8, 0, 1652
93, 12, 0, 1090
94, 9, 0, 2957
95, 30, 0, 923
96, 4, 0, 2264
97, 4, 0, 1573
98, 34, 0, 2052
99, 4, 0, 1498
100, 2, 0, 2063
101, 21, 0, 2868
102, 2, 0, 2165
103, 6, 0, 1793
104, 26, 0, 510
105, 7, 0, 249
106, 33, 0, 1216
107, 3, 0, 355
108, 2, 0, 435
